File,Label,Concentration_pM,Concentration_M,Baseline_potential_V,Baseline_current_uA,Peak_potential_V,Peak_current_uA,DeltaPeak_max_minus_min_uA,DeltaDeltaPeak_vs_zero_uA,Abs_DeltaDeltaPeak_vs_zero_uA
3-pbs.mtd,3-pbs.mtd,0.0,0.0,0.26,4.295834599999999,0.49,6.420831,2.1249964000000006,0.0,0.0
4-10pM.mtd,10 pm,10.0,1e-11,0.255,4.954166700000001,0.46,6.750000999999999,1.7958342999999983,-0.32916210000000223,0.32916210000000223
5-50pM.mtd,50 pm,50.0,5e-11,0.255,5.620833000000001,0.44,7.041664000000001,1.4208309999999997,-0.7041654000000008,0.7041654000000008
6-100pM.mtd,100 pm,100.0,1e-10,0.255,6.2583325,0.42,7.462502000000001,1.2041695000000008,-0.9208268999999998,0.9208268999999998
7-250pM.mtd,250 pm,250.0,2.5e-10,0.255,6.945833,0.39,7.904166,0.9583329999999997,-1.166663400000001,1.166663400000001
8-500pM.mtd,500 pm,500.0,5e-10,0.26,7.504166,0.385,8.279164999999999,0.7749989999999993,-1.3499974000000012,1.3499974000000012
